#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_0469	3970	5935	3342	5181	3334	1990	5455	3374	3047	3051
SL1344_0470	1002	863	637	924	723	195	946	666	581	948
SL1344_0471	4006	4955	2107	3278	2077	1439	4778	2008	1988	2352
SL1344_0472	1193	1461	869	1032	881	368	1341	857	781	786
SL1344_0473	302	385	238	284	226	106	378	232	220	229
SL1344_0474	601	854	488	659	497	267	729	463	414	399
SL1344_0476	864	834	777	1208	856	509	922	798	707	614
SL1344_0477	8430	10411	7462	11566	7240	1759	9874	6148	5549	9960
SL1344_0478	8606	8932	5648	9785	6718	3170	8321	7296	9528	3596
SL1344_0479	1405	1832	1283	1923	1295	731	1701	1278	1260	1533
SL1344_0480	5476	24349	18662	4516	13439	5064	13595	16888	1702	11318
SL1344_0481	5633	8660	5291	7066	5422	2428	7738	8319	10291	5023
SL1344_0482	419	488	275	404	274	190	400	261	212	241
SL1344_0483	47	98	64	34	65	31	64	33	27	31
SL1344_0484	2489	2566	1672	2914	1536	1084	3106	1855	2014	1541
SL1344_0485	1291	1527	837	1220	975	536	1307	971	930	1003
SL1344_0486	314	438	319	402	329	127	444	325	203	340
SL1344_0487	906	1979	809	734	852	352	1223	904	878	832
SL1344_0488	213	184	121	237	158	61	239	165	152	134
SL1344_0489	240	303	199	258	233	76	286	189	148	194
SL1344_0490	165	390	137	241	170	93	371	178	168	154
SL1344_0491	241	374	207	322	190	139	339	214	176	247
SL1344_0492	701	1004	482	622	513	144	783	543	613	436
SL1344_0493	122	109	55	72	87	49	68	75	58	44
SL1344_0494	684	684	341	592	385	274	622	500	657	347
SL1344_0495	62	166	109	171	89	55	182	146	127	120
SL1344_0496	54	99	53	61	41	30	69	58	74	81
SL1344_0497	1050	2574	1681	1029	1653	1109	1664	2278	783	1320
SL1344_0498	677	1222	601	819	737	268	1033	600	532	670
SL1344_0499	351	469	216	404	285	104	389	240	218	315
SL1344_0500	213	334	137	157	148	53	210	129	126	139
SL1344_0501	451	826	303	313	291	152	500	250	222	271
SL1344_0502	220	278	268	362	260	88	254	293	292	227
SL1344_0503	223	193	77	131	112	41	186	93	76	98
SL1344_0504	148	174	69	100	78	27	127	68	59	110
SL1344_0505	26	36	26	35	26	21	31	18	6	30
SL1344_0506	808	1135	754	986	721	448	968	763	721	587
SL1344_0507	53	49	25	33	22	16	39	25	38	34
SL1344_0508	150	297	161	122	148	30	195	145	151	130
SL1344_0509	422	778	365	478	421	250	574	445	405	334
SL1344_0510	44	75	36	31	41	15	68	15	27	19
SL1344_0511	48	73	18	22	34	12	44	36	28	18
SL1344_0512	19	44	16	28	11	9	31	28	6	25
SL1344_0513	23	44	20	25	8	3	35	15	12	7
SL1344_0515	16	46	7	19	6	7	14	11	29	19
SL1344_0516	41	131	26	52	52	31	77	54	46	36
SL1344_0517	41	57	11	36	38	7	58	29	22	16
SL1344_0518	83	128	55	90	67	37	75	49	53	76
SL1344_0519	153	267	171	192	222	120	234	165	121	160
SL1344_0520	23	29	12	21	31	10	15	30	12	20
SL1344_0521	4	3	1	3	9	3	6	4	7	13
SL1344_0522	19	39	40	31	23	10	18	9	25	37
SL1344_0523	20	36	27	21	18	2	17	6	9	16
SL1344_0524	22	33	11	15	10	2	11	10	6	12
SL1344_0525	81	87	30	56	52	23	61	33	57	23
SL1344_0526	391	300	177	377	251	171	367	214	211	222
SL1344_0527	162	136	93	232	128	64	156	98	108	133
SL1344_0528	342	323	229	403	244	82	355	269	165	316
SL1344_0529	2263	3684	2323	3604	2987	1623	4061	2844	2387	2639
SL1344_0530	3608	5181	3190	4994	3508	1630	4649	3737	4162	3159
SL1344_0531	126	182	70	122	90	45	103	60	65	102
SL1344_0532	150	162	85	109	86	37	124	69	69	94
SL1344_0533	45	29	10	22	18	6	39	13	12	21
SL1344_0534	70	115	60	70	58	40	117	65	53	53
SL1344_0535	1185	1246	929	1392	1074	459	1629	1296	1261	1190
SL1344_0536	154	175	22	75	45	30	74	33	65	38
SL1344_0537	63	56	2	20	15	11	24	8	21	13
SL1344_0538	41	41	12	12	11	2	29	9	17	12
SL1344_0539	84	82	26	59	51	20	59	41	27	29
SL1344_0540	105	117	56	65	82	16	126	74	66	41
SL1344_0541	11	7	4	14	4	4	8	4	2	4
SL1344_0542	26	31	10	30	26	9	24	31	24	30
SL1344_0543	19	7	4	12	8	7	13	1	7	11
SL1344_0544	19	17	9	20	11	2	16	4	8	9
SL1344_0545	28	35	24	27	18	3	52	24	6	25
SL1344_0547	359	303	345	913	453	93	1480	380	696	486
SL1344_0548	55	60	71	139	75	30	416	80	95	81
SL1344_0549	15	46	43	90	41	6	197	37	25	73
SL1344_0551	32	70	37	23	38	6	49	36	17	57
SL1344_0552	213	325	120	128	141	40	165	115	107	101
SL1344_0553	4	7	5	0	8	0	12	9	2	3
SL1344_0554	18	12	13	10	14	2	4	2	5	12
SL1344_0555	980	1400	1620	905	1615	401	783	1197	812	1109
SL1344_0556	636	922	780	672	713	394	693	550	502	612
SL1344_0557	341	548	289	403	335	211	554	326	317	352
SL1344_0558	394	861	344	379	407	97	539	302	206	414
SL1344_0559	360	582	278	341	385	108	438	267	261	412
SL1344_0560	23	25	13	23	21	19	21	14	9	10
SL1344_0561	19	15	15	17	24	25	7	6	8	8
SL1344_0562	49	31	18	31	28	5	28	36	21	17
SL1344_0563	8	2	8	3	4	1	4	2	0	1
SL1344_0564	2	2	4	0	8	0	4	3	0	3
SL1344_0565	9	4	5	9	4	2	10	3	1	11
SL1344_0566	2723	4948	3291	4363	3943	960	4749	3666	3662	3565
SL1344_0567	120	153	116	199	142	48	217	99	96	157
SL1344_0568	178	273	125	216	201	154	269	153	175	145
SL1344_0569	175	374	164	210	174	76	297	198	162	172
SL1344_0570	23	10	15	28	17	6	18	9	8	32
SL1344_0571	254	504	106	642	99	61	441	60	54	84
SL1344_0572	66	14	24	186	12	4	31	5	1	15
SL1344_0573	2890	395	556	6120	293	275	785	212	124	346
SL1344_0574	2161	566	505	4415	355	210	769	268	169	204
SL1344_0575	53	9	15	191	14	11	26	8	10	14
SL1344_0576	1223	633	501	4119	375	313	988	311	278	341
SL1344_0577	988	681	799	1532	806	247	675	909	841	927
SL1344_0578	304	45	81	415	48	32	124	19	8	63
SL1344_0579	138	20	34	183	25	27	47	11	4	31
SL1344_0580	267	75	62	377	56	31	91	22	8	77
SL1344_0581	1180	369	367	1802	283	161	548	128	58	369
SL1344_0582	259	78	93	435	94	61	156	50	32	82
SL1344_0583	496	130	183	1016	180	93	372	102	36	217
SL1344_0584	571	268	241	1677	229	147	498	153	73	245
SL1344_0585	241	181	179	989	146	119	293	74	51	127
SL1344_0586	115	114	43	280	77	45	79	47	22	52
SL1344_0587	366	323	246	747	151	113	408	104	101	128
SL1344_0588	2071	4019	1237	1332	1914	474	1535	1063	1485	1248
SL1344_0589	132	135	53	52	68	10	83	41	68	56
SL1344_0590	91	121	44	107	89	73	126	108	71	59
SL1344_0591	159	181	133	137	143	102	293	177	122	127
SL1344_0592	334	550	247	412	329	86	527	307	285	329
SL1344_0593	325	429	207	328	273	70	403	260	201	310
SL1344_0594	260	283	131	272	245	52	340	237	203	399
SL1344_0595	1037	1299	563	855	707	338	1199	582	508	779
SL1344_0596	3947	5246	3658	4804	4364	2018	5065	3884	3148	3745
SL1344_0597	3889	6320	4380	4517	4455	1070	5396	3509	2543	5027
SL1344_0598	3	12	5	2	4	4	4	3	1	10
SL1344_0599	82	143	92	92	81	40	93	51	82	84
SL1344_0600	40	69	27	24	30	12	37	29	13	32
SL1344_0601	188	299	123	190	157	42	173	106	74	174
SL1344_0602	548	835	536	536	749	258	718	604	656	695
SL1344_0603	190	435	85	90	80	44	360	49	60	75
SL1344_0604	147	119	71	110	87	68	82	91	69	59
SL1344_0605	1056	1107	679	1079	1194	500	1198	973	946	977
SL1344_0606	47	51	15	55	25	15	27	28	12	15
SL1344_0607	6	13	3	0	5	0	10	6	3	1
SL1344_0608	2	0	0	0	2	0	2	0	6	0
SL1344_0609	6	8	4	0	8	3	2	5	2	0
SL1344_0610	8	4	0	8	6	2	5	2	5	0
SL1344_0611	7	0	13	1	10	15	3	4	5	0
SL1344_0612	6	3	4	1	4	0	1	0	2	3
SL1344_0613	202	362	108	137	129	57	308	88	104	126
SL1344_0614	222	345	122	123	148	88	271	134	118	126
SL1344_0615	91	91	38	114	57	45	139	66	98	40
SL1344_0616	948	1214	930	1275	992	479	1860	1081	678	1002
SL1344_0617	16047	14288	7933	12999	14635	6619	9839	13604	23665	7068
SL1344_0618	90	78	50	86	73	30	89	68	113	62
SL1344_0619	472	293	282	145	236	60	106	125	111	155
SL1344_0620	1258	1578	1124	1544	1200	764	1365	1444	1971	677
SL1344_0621	3059	4015	2329	3846	2967	1784	4236	3857	4256	3246
SL1344_0622	679	718	214	531	266	172	925	213	182	326
SL1344_0623	398	521	391	519	410	301	568	381	373	422
SL1344_0624	406	584	504	424	390	336	637	544	196	470
SL1344_0625	2153	2795	1787	2543	1892	938	3000	1999	1795	2175
SL1344_0626	1261	1683	1033	1362	1293	491	1678	1108	1101	1233
SL1344_0627	1148	1298	813	1051	955	321	1206	776	885	934
SL1344_0628	1567	1743	1139	1383	1108	646	1490	1067	991	1181
SL1344_0629	1599	1894	1408	1773	1344	667	1740	1370	1085	1385
SL1344_0630	1146	1376	1156	1400	1088	455	1413	1120	912	1276
SL1344_0631	116	131	57	68	91	46	123	50	69	88
SL1344_0632	128	248	137	117	170	23	153	121	117	86
SL1344_0633	1231	1121	699	1195	773	266	890	560	656	881
SL1344_0634	4035	4184	2695	4655	3364	1334	4111	2828	3563	2819
SL1344_0635	1495	1643	1207	1811	1200	603	1928	1371	1409	1588
SL1344_0636	14999	20008	14360	29712	18421	6503	33481	22239	29298	12212
SL1344_0637	9	21	10	9	3	2	29	18	11	10
SL1344_0638	63	71	45	56	29	7	67	39	25	38
SL1344_0639	449	262	111	235	141	36	241	167	111	195
SL1344_0640	613	803	407	560	434	169	566	397	402	481
SL1344_0641	625	1392	393	333	372	154	840	367	508	317
SL1344_0642	251	274	147	145	161	80	182	127	113	108
SL1344_0643	78	184	73	78	71	39	115	56	70	71
SL1344_0644	49	93	48	23	39	15	74	30	43	74
SL1344_0647	209	228	104	162	142	51	202	85	77	115
SL1344_0648	328	514	227	174	440	61	284	217	242	360
SL1344_0649	716	1247	493	336	1149	146	288	497	822	802
SL1344_0650	278	590	293	141	616	43	153	236	383	396
SL1344_0651	142	332	108	73	206	25	52	123	190	166
SL1344_0652	61	128	83	30	167	15	67	81	132	131
SL1344_0653	117	144	60	45	185	15	57	89	86	150
SL1344_0654	1537	2742	1354	860	2540	252	858	1269	1873	1917
SL1344_0655	2275	2826	2093	1699	1719	452	1554	1296	1019	1879
SL1344_0656	2752	3929	2880	2737	2730	1018	2871	2292	1688	3008
SL1344_0657	2971	6379	4420	2975	3582	1101	3959	3459	1852	3963
SL1344_0658	2685	4825	3085	2650	2947	1211	3145	3270	1808	2363
SL1344_0659	2902	3985	2749	3924	2808	2474	4298	3077	2632	2104
SL1344_0660	529	649	363	510	351	171	565	373	388	349
SL1344_0661	86	34	37	46	39	20	63	61	28	73
SL1344_0662	862	1268	600	1036	766	216	1081	573	420	799
SL1344_0663	1006	1154	708	1160	991	432	1320	865	768	1204
SL1344_0664	729	972	539	770	626	305	874	600	486	685
SL1344_0665	657	1090	633	706	747	270	965	596	558	926
SL1344_0666	541	1498	660	521	919	215	890	673	670	815
SL1344_0667	1875	3896	1723	1405	2628	628	1578	1845	2440	2115
SL1344_0668	5333	7195	5696	7488	5442	2115	7112	5954	5402	6138
SL1344_0669	446	556	264	128	456	52	156	145	309	344
SL1344_0670	39	91	11	13	31	7	13	16	24	23
SL1344_0671	19	27	9	27	28	6	8	16	7	8
SL1344_0672	52	111	33	61	76	19	73	31	26	89
SL1344_0673	73	102	33	42	26	17	58	17	37	46
SL1344_0674	481	322	237	314	260	133	278	211	300	254
SL1344_0675	1854	2129	1479	2180	1491	868	2278	1538	1394	1825
SL1344_0676	3197	3386	2672	3944	2785	1676	3622	3132	2542	2467
SL1344_0677	1020	552	483	1142	633	313	790	572	663	570
SL1344_0678	523	702	372	657	715	253	784	643	507	483
SL1344_0679	3279	5113	3438	5313	4042	1120	5309	3783	4441	3090
SL1344_0680	5475	9921	4869	6047	4819	2789	8547	5390	5053	5350
SL1344_0681	87	209	34	49	121	34	57	1634	3612	68
SL1344_0682	38	164	17	34	72	11	23	1306	2807	44
SL1344_0683	117	568	39	37	445	40	42	3739	8022	155
SL1344_0684	53	87	78	51	67	48	105	63	26	39
SL1344_0685	217	400	175	197	237	118	260	163	130	186
SL1344_0686	57	71	37	54	70	41	54	59	42	33
SL1344_0687	27	41	22	19	18	20	24	24	14	10
SL1344_0688	19	20	10	12	17	4	15	5	3	6
SL1344_0688A	0	0	0	0	0	0	0	0	0	0
SL1344_0689	120	60	27	92	56	53	106	57	52	35
SL1344_0690	208	471	71	179	82	50	359	83	75	104
SL1344_0691	139	110	126	233	120	37	125	86	59	116
SL1344_0692	767	1407	597	649	674	241	996	513	477	502
SL1344_0693	433	922	394	356	383	134	599	381	352	359
SL1344_0694	411	845	346	367	330	166	531	299	226	279
SL1344_0695	591	1204	504	610	572	182	836	405	325	470
SL1344_0696	42	40	12	44	34	4	52	24	8	58
SL1344_0697	301	280	159	314	145	55	333	166	130	226
SL1344_0699	13	9	8	16	6	6	17	2	5	17
SL1344_0702	2	2	12	7	8	3	4	3	4	10
SL1344_0703	6	20	4	23	13	9	24	19	9	21
SL1344_0704	7	11	7	5	14	2	9	7	5	12
SL1344_0705	14	29	9	26	16	12	32	18	14	34
SL1344_0706	20	50	16	29	17	5	32	40	33	62
SL1344_0707	9	11	10	14	9	2	19	12	7	29
SL1344_0708	59	74	47	75	79	27	73	38	36	89
SL1344_0709	24	27	17	49	30	7	33	27	16	19
SL1344_0710	577	724	447	683	605	223	661	462	469	461
SL1344_0711	130	155	87	78	109	33	106	79	100	177
SL1344_0712	2584	5508	1853	1187	3385	552	1814	2160	3360	3982
SL1344_0713	74	65	19	13	72	7	27	37	52	39
SL1344_0714	1419	1653	883	378	1332	151	524	737	1006	1986
SL1344_0715	243	417	159	56	292	49	54	139	223	317
SL1344_0716	2192	4447	1280	346	2667	452	377	1299	2383	1644
SL1344_0717	2564	6095	1865	788	3750	384	1030	2520	4855	3041
SL1344_0718	8547	25247	6374	4484	13383	2294	5675	11406	19980	11599
SL1344_0719	4916	18373	3871	3159	8746	1830	4197	7488	12225	8274
SL1344_0720	4627	16027	3351	2423	6892	1204	2904	5543	9393	5742
SL1344_0721	1539	5672	1273	973	2607	676	1206	1964	3113	2318
SL1344_0722	2394	2782	2399	2786	2138	1992	3024	2983	3390	1910
SL1344_0723	1946	2076	2042	1878	1519	1035	2013	2188	2383	1463
SL1344_0724	1968	2104	1902	2080	1825	1040	2058	2635	3280	1162
SL1344_0725	165	183	102	141	93	128	179	132	167	99
SL1344_0726	1321	1298	777	1104	828	367	1414	833	1017	757
SL1344_0727	1030	1593	895	1032	735	363	1378	748	786	885
SL1344_0728	986	1314	586	815	644	521	1144	686	756	558
SL1344_0729	3550	5174	2527	2511	1986	1528	3672	2141	2602	1493
SL1344_0730	19990	36469	25683	27301	30088	6231	28877	27937	25801	27478
SL1344_0731	8680	14479	9623	10818	10947	4174	11105	9951	9117	9834
SL1344_0732	2583	2971	1848	2321	2076	953	2443	1830	2090	1918
SL1344_0733	140	284	82	107	116	37	191	78	97	81
SL1344_0734	66	90	32	54	46	26	59	33	66	26
SL1344_0735	96	174	35	68	83	25	160	64	51	89
SL1344_0736	363	1027	34	111	58	99	1434	43	27	64
SL1344_0737	723	916	568	785	802	364	840	630	621	556
SL1344_0738	160	242	114	189	158	50	259	204	142	157
SL1344_0739	103	255	132	150	161	34	227	191	186	150
SL1344_0740	212	178	137	139	184	33	116	146	143	200
SL1344_0741	59	60	28	55	47	28	77	38	37	26
SL1344_0742	2	5	1	6	3	4	8	7	1	19
SL1344_0743	2	1	0	0	1	1	0	1	2	4
SL1344_0744	0	0	0	0	0	0	0	0	0	0
SL1344_0745	10	6	2	4	3	7	9	2	2	4
SL1344_0746	19	37	35	13	15	9	29	22	7	17
SL1344_0747	85	133	89	69	84	28	97	51	58	94
SL1344_0748	40	33	19	20	18	8	19	12	12	19
SL1344_0749	9701	16631	9556	12695	9609	4759	13389	8823	6874	8609
SL1344_0750	715	1866	624	677	688	301	1387	785	943	625
SL1344_0751	663	1458	467	606	610	366	1106	572	728	549
SL1344_0752	787	1894	504	463	609	252	1270	562	822	550
SL1344_0753	635	1213	304	385	460	296	790	515	770	426
SL1344_0754	66	89	48	71	68	13	77	40	36	56
SL1344_0755	824	882	513	731	783	321	676	549	471	733
SL1344_0756	403	495	334	401	313	209	442	324	262	305
SL1344_0757	190	109	74	186	77	52	142	105	120	109
SL1344_0758	433	395	964	365	1067	167	232	674	354	655
SL1344_0759	138	117	354	168	377	72	62	258	117	289
SL1344_0760	428	440	1281	542	1340	258	256	1048	490	1250
SL1344_0761	394	482	221	399	335	146	383	368	371	269
SL1344_0762	574	1285	509	620	638	336	1141	547	534	501
SL1344_0763	1679	2866	1675	2224	1850	1228	2915	1888	1443	1721
SL1344_0764	437	994	424	316	489	153	528	332	225	441
SL1344_0765	272	645	203	223	269	112	342	216	180	300
SL1344_0766	83	124	48	59	98	40	72	68	43	87
SL1344_0767	223	675	254	137	387	30	153	158	136	283
SL1344_0768	229	491	139	96	261	29	126	129	110	249
SL1344_0769	67	126	37	79	34	29	133	47	41	41
SL1344_0770	70	98	72	127	79	21	120	43	57	87
SL1344_0771	54	50	34	68	44	13	82	31	18	41
SL1344_0772	19	36	4	21	7	8	14	11	9	13
SL1344_0773	25	44	29	17	20	11	53	18	16	29
SL1344_0774	28	39	25	25	16	18	17	5	12	13
SL1344_0775	6454	7655	4698	6121	4452	1376	6474	3934	3757	4904
SL1344_0776	2468	2931	1250	1977	1342	416	2575	1241	1357	1549
SL1344_0777	320	573	250	338	318	189	444	316	289	322
SL1344_0778	396	506	248	403	296	158	479	193	133	307
SL1344_0779	473	760	373	558	494	229	697	377	242	521
SL1344_0780	167	253	181	142	173	74	224	125	81	145
SL1344_0781	59	69	36	70	66	18	68	43	22	55
SL1344_0782	135	213	119	178	157	56	222	143	70	138
SL1344_0783	752	1120	596	835	706	347	1149	571	527	570
SL1344_0784	4	6	3	11	0	2	11	0	0	3
SL1344_0785	7	21	13	2	9	4	18	12	1	10
SL1344_0786	33	43	14	12	18	5	45	5	10	26
SL1344_0787	111	400	48	55	65	44	307	32	17	61
SL1344_0788	55	290	33	26	33	23	256	16	13	28
SL1344_0789	37	207	17	47	29	13	180	13	4	18
SL1344_0790	1154	1076	551	579	646	246	665	550	671	736
SL1344_0791	298	443	182	309	237	61	388	147	106	288
SL1344_0792	244	384	129	278	192	75	346	157	104	237
SL1344_0793	683	1362	434	625	589	230	768	350	330	517
SL1344_0794	248	487	178	277	271	93	341	163	119	233
SL1344_0795	407	650	246	360	317	109	445	215	124	350
SL1344_0796	2273	1381	1108	2187	888	506	1436	906	988	1274
SL1344_0797	4021	2862	2495	4165	2477	815	2761	2129	2166	2839
SL1344_0798	382	362	300	447	287	118	325	244	237	244
SL1344_0799	24	23	14	23	26	13	40	18	11	17
SL1344_0800	38	86	24	36	46	17	49	22	15	35
SL1344_0801	550	517	334	645	319	215	629	337	327	392
SL1344_0802	245	214	180	298	202	60	223	181	185	247
SL1344_0803	1118	1196	1871	1864	1675	745	1225	3199	3778	1556
SL1344_0804	399	438	717	794	656	228	497	1171	1238	741
SL1344_0805	2288	3102	5004	4631	4158	2005	3794	8812	10161	4538
SL1344_0806	631	2323	322	610	559	373	2104	622	479	648
SL1344_0807	33	46	26	28	18	16	62	23	36	36
SL1344_0808	11053	22451	8719	14120	7654	5575	28439	8699	6405	11799
SL1344_0809	1651	1213	992	1371	1000	270	1193	880	824	1197
SL1344_0810	954	1259	871	912	862	331	822	590	773	770
SL1344_0811	191	222	133	111	152	65	129	93	117	114
SL1344_0812	2458	2994	1996	3645	2128	966	4004	2283	2224	2771
SL1344_0813	5227	4891	3761	4962	3055	1772	4578	3098	3145	3140
SL1344_0814	420	278	199	320	123	73	245	171	120	323
SL1344_0817	65	124	59	74	90	22	99	43	53	56
SL1344_0818	816	713	502	912	492	255	871	504	406	461
SL1344_0819	41	34	12	29	20	13	31	13	23	37
SL1344_0820	12	12	9	4	9	4	7	1	10	5
SL1344_0821	243	267	144	263	176	117	269	190	191	157
SL1344_0822	618	702	424	733	482	324	779	593	628	490
SL1344_0823	778	2366	879	1012	1038	365	1813	830	588	912
SL1344_0824	1093	2770	912	1098	1111	525	2056	867	705	908
SL1344_0825	711	2063	624	559	658	245	1126	502	435	490
SL1344_0826	142	348	99	125	126	53	207	84	62	165
SL1344_0827	308	535	147	217	211	115	464	176	133	158
SL1344_0828	4501	5045	3916	5612	3778	2947	5808	4527	4388	3297
SL1344_0829	100	151	81	95	69	30	163	59	33	118
SL1344_0830	9	9	5	10	8	0	15	6	13	9
SL1344_0831	43	97	32	53	40	22	71	42	68	71
SL1344_0832	130	139	81	88	74	28	100	57	73	70
SL1344_0833	238	286	168	167	150	117	316	157	138	154
SL1344_0834	149	176	87	126	103	48	146	92	70	125
SL1344_0835	355	380	216	361	310	120	538	300	248	404
SL1344_0836	152	140	105	94	109	43	152	79	84	163
SL1344_0837	152	131	53	85	52	13	126	36	30	91
SL1344_0838	645	841	363	526	509	260	690	521	525	280
SL1344_0839	549	967	289	470	398	155	767	342	334	370
SL1344_0840	615	621	445	607	403	276	631	411	393	430
SL1344_0841	256	267	137	208	183	91	334	202	185	202
SL1344_0842	640	814	640	731	541	202	778	723	725	534
SL1344_0843	164	180	133	154	96	58	188	128	92	157
SL1344_0844	897	1055	665	879	676	177	786	489	281	1121
SL1344_0845	272	167	100	143	96	29	138	85	63	105
SL1344_0846	1130	1028	643	1167	686	473	1140	697	711	781
SL1344_0847	57	67	15	43	34	17	49	35	39	24
SL1344_0848	822	785	508	794	784	430	867	717	921	581
SL1344_0849	361	520	270	396	324	116	517	247	251	285
SL1344_0852	608	669	438	526	446	197	607	455	447	487
SL1344_0853	262	288	224	286	286	98	361	207	230	282
SL1344_0854	743	1326	820	891	936	133	944	519	450	979
SL1344_0855	369	556	295	407	359	103	381	250	254	404
SL1344_0856	99	96	76	87	99	20	83	55	71	93
SL1344_0857	144	180	72	94	93	36	82	48	65	120
SL1344_0858	734	757	410	692	571	160	745	329	399	622
SL1344_0859	1015	1017	708	924	641	353	1052	643	493	783
SL1344_0860	38	36	14	48	21	8	27	13	14	35
SL1344_0861	54	55	37	37	26	13	48	21	24	27
SL1344_0862	151	151	106	117	96	26	172	110	82	94
SL1344_0863	157	114	91	234	91	46	139	90	39	107
SL1344_0864	2393	2113	1604	3456	1598	497	2626	1407	1625	1728
SL1344_0865	1132	1058	758	1911	955	507	1352	847	946	848
SL1344_0866	1565	2052	1761	3038	1797	703	2464	1509	1541	1526
SL1344_0867	1324	1809	1565	2509	1396	532	2178	1190	1080	1494
SL1344_0868	594	1184	489	759	702	337	1092	586	533	504
SL1344_0869	444	412	242	327	260	118	442	262	247	320
SL1344_0870	172	261	137	179	153	115	241	157	136	190
SL1344_0871	734	861	604	793	777	254	743	577	573	626
SL1344_0872	195	361	145	172	185	73	263	115	111	254
SL1344_0873	221	474	192	204	263	109	330	182	162	233
SL1344_0874	219	589	62	112	90	72	479	57	55	110
SL1344_0875	361	328	151	296	193	107	274	153	144	181
SL1344_0876	204	179	97	170	122	78	162	145	91	116
SL1344_0877	89	130	51	109	106	49	147	82	73	97
SL1344_0878	414	599	275	424	306	149	514	288	308	345
SL1344_0879	11134	12913	10451	15619	11878	5484	15110	12178	11634	13699
SL1344_0880	2401	3449	1854	1868	1719	756	2394	1585	1501	1762
SL1344_0881	1498	1918	884	928	1064	511	1065	753	878	852
SL1344_0882	83	174	97	66	146	48	118	78	92	158
SL1344_0883	3632	5313	2362	2146	2192	1198	2973	2046	1942	1934
SL1344_0884	6221	10794	4995	4531	4831	1786	5606	3249	3799	4322
SL1344_0885	1	4	2	3	1	2	3	2	2	7
SL1344_0888	86	207	49	86	102	44	182	76	72	57
SL1344_0889	72	153	36	120	67	36	111	73	55	52
SL1344_0890	528	703	373	329	286	111	344	215	186	276
SL1344_0891	833	816	582	1046	641	328	881	691	614	599
SL1344_0892	2939	2429	1416	3575	1800	796	3111	2047	2936	2119
SL1344_0893	591	484	302	541	298	173	517	315	345	423
SL1344_0894	863	892	583	792	633	297	934	562	529	680
SL1344_0895	1183	1457	1030	1581	1124	604	1564	996	1068	1063
SL1344_0896	7925	13887	9308	11949	10230	4269	12962	10180	9898	10623
SL1344_0897	6986	10646	5470	7453	6477	2426	8467	5482	4681	6196
SL1344_0898	10733	12249	7207	10731	8061	2876	10757	6304	6120	8035
SL1344_0899	1745	2068	990	1358	1036	540	1887	840	878	1000
SL1344_0900	3559	4073	1983	3120	2294	835	3834	1794	1907	2312
SL1344_0901	7662	12868	6682	9614	6671	2793	9355	6769	7715	6558
SL1344_0902	109	130	41	88	86	30	111	143	276	69
SL1344_0903	14	19	16	24	11	1	14	28	82	20
SL1344_0904	33	52	14	25	29	5	39	44	81	32
SL1344_0905	361	522	351	453	320	195	676	348	390	295
SL1344_0906	249	449	171	171	258	82	286	194	214	286
SL1344_0907	1257	1447	898	1354	1048	814	1621	1198	1302	878
SL1344_0908	391	282	210	378	212	63	387	230	243	261
SL1344_0909	123	234	109	162	197	40	215	170	138	239
SL1344_0910	3193	5678	2766	4979	2677	2877	6913	6909	10318	2972
SL1344_0911	1704	3278	1319	2686	1574	829	3285	1866	2179	1401
SL1344_0912	3504	3048	2482	4112	2541	1453	3330	2511	2967	2422
SL1344_0913	217	852	54	98	76	44	576	56	69	70
SL1344_0914	1358	2657	1281	1689	1456	750	2806	1673	1348	1318
SL1344_0915	935	1671	863	1199	929	521	1830	928	685	941
SL1344_0916	320	336	255	300	241	109	350	189	135	293
SL1344_0917	6052	7391	5568	8642	5776	1446	8924	5956	5156	5977
